x, y, v_x, v_y
2375.15, 2252.37, 434.158, 387.002
2379.5, 2256.24, 434.057, 386.814
2383.84, 2260.11, 433.956, 386.626
2388.18, 2263.97, 433.855, 386.438
2392.51, 2267.84, 433.754, 386.25
2396.85, 2271.7, 433.653, 386.062
2401.19, 2275.56, 433.553, 385.874
2405.52, 2279.42, 433.452, 385.686
2409.86, 2283.27, 433.351, 385.499
2414.19, 2287.13, 433.251, 385.311
2418.52, 2290.98, 433.15, 385.124
2422.86, 2294.83, 433.05, 384.936
2427.19, 2298.68, 432.95, 384.749
2431.52, 2302.53, 432.849, 384.562
2435.84, 2306.38, 432.749, 384.375
2440.17, 2310.22, 432.649, 384.188
2444.5, 2314.06, 432.549, 384.001
2448.82, 2317.9, 432.449, 383.814
2453.15, 2321.74, 432.349, 383.627
2457.47, 2325.58, 432.249, 383.44
2461.79, 2329.41, 432.149, 383.253
2466.12, 2333.24, 432.049, 383.067
2470.44, 2337.07, 431.949, 382.88
2474.76, 2340.9, 431.849, 382.694
2479.07, 2344.73, 431.75, 382.507
2483.39, 2348.55, 431.65, 382.321
2487.71, 2352.38, 431.551, 382.134
2492.02, 2356.2, 431.451, 381.948
2496.34, 2360.02, 431.352, 381.762
2500.65, 2363.84, 431.252, 381.576
2504.96, 2367.65, 431.153, 381.39
2509.28, 2371.47, 431.054, 381.204
2513.59, 2375.28, 430.954, 381.018
2517.9, 2379.09, 430.855, 380.833
2522.2, 2382.9, 430.756, 380.647
2526.51, 2386.7, 430.657, 380.461
2530.82, 2390.51, 430.558, 380.276
2535.12, 2394.31, 430.459, 380.09
2539.43, 2398.11, 430.36, 379.905
2543.73, 2401.91, 430.261, 379.719
2548.04, 2405.71, 430.163, 379.534
2552.34, 2409.5, 430.064, 379.349
2556.64, 2413.3, 429.965, 379.164
2560.94, 2417.09, 429.867, 378.979
2565.24, 2420.88, 429.768, 378.794
2569.53, 2424.67, 429.67, 378.609
2573.83, 2428.45, 429.571, 378.424
